b-last,b-avg,b-min,b-max,c-last,c-avg,c-min,c-max,d-last,d-avg,d-min,d-max,e-last,e-avg,e-min,e-max,e2e-last,e2e-avg,e2e-min,e2e-max
0,0.0,0,0,193,292.7,113,984,2,1.1,0,5,94,98.1,77,249,289,391.9,206,1071
0,0.0,0,0,306,292.8,113,984,1,1.1,0,5,99,98.1,77,249,406,392.1,206,1071
0,0.0,0,0,205,291.8,113,984,1,1.1,0,5,101,98.2,77,249,307,391.1,206,1071
0,0.0,0,0,311,292.0,113,984,1,1.1,0,5,103,98.2,77,249,415,391.4,206,1071
0,0.0,0,0,269,291.8,113,984,2,1.1,0,5,99,98.2,77,249,370,391.1,206,1071
0,0.0,0,0,277,291.6,113,984,2,1.1,0,5,88,98.1,77,249,367,390.9,206,1071
0,0.0,0,0,318,291.9,113,984,2,1.1,0,5,117,98.3,77,249,437,391.4,206,1071
0,0.0,0,0,279,291.8,113,984,33,1.5,0,33,102,98.4,77,249,414,391.6,206,1071
0,0.0,0,0,223,291.0,113,984,1,1.5,0,33,88,98.3,77,249,312,390.8,206,1071
0,0.0,0,0,425,292.5,113,984,1,1.5,0,33,99,98.3,77,249,525,392.2,206,1071
0,0.0,0,0,410,293.7,113,984,2,1.5,0,33,113,98.4,77,249,525,393.6,206,1071
0,0.0,0,0,510,295.9,113,984,1,1.5,0,33,92,98.4,77,249,603,395.8,206,1071
0,0.0,0,0,307,296.1,113,984,1,1.5,0,33,129,98.7,77,249,437,396.2,206,1071
0,0.0,0,0,370,296.8,113,984,1,1.5,0,33,91,98.6,77,249,462,396.9,206,1071
0,0.0,0,0,352,297.4,113,984,1,1.5,0,33,116,98.8,77,249,469,397.6,206,1071
0,0.0,0,0,206,296.5,113,984,1,1.5,0,33,82,98.6,77,249,289,396.5,206,1071
0,0.0,0,0,200,295.5,113,984,1,1.4,0,33,90,98.5,77,249,291,395.5,206,1071
0,0.0,0,0,246,295.0,113,984,1,1.4,0,33,95,98.5,77,249,342,394.9,206,1071
0,0.0,0,0,293,295.0,113,984,1,1.4,0,33,95,98.4,77,249,389,394.9,206,1071
0,0.0,0,0,394,296.0,113,984,1,1.4,0,33,95,98.4,77,249,490,395.8,206,1071
0,0.0,0,0,373,296.7,113,984,1,1.4,0,33,91,98.3,77,249,465,396.5,206,1071
0,0.0,0,0,186,295.6,113,984,1,1.4,0,33,100,98.4,77,249,287,395.4,206,1071
0,0.0,0,0,419,296.8,113,984,1,1.4,0,33,85,98.2,77,249,505,396.4,206,1071
0,0.0,0,0,201,295.9,113,984,1,1.4,0,33,93,98.2,77,249,295,395.5,206,1071
0,0.0,0,0,437,297.2,113,984,1,1.4,0,33,83,98.0,77,249,521,396.7,206,1071
0,0.0,0,0,408,298.2,113,984,1,1.4,0,33,90,98.0,77,249,499,397.6,206,1071
0,0.0,0,0,327,298.5,113,984,1,1.4,0,33,93,97.9,77,249,421,397.8,206,1071
0,0.0,0,0,296,298.4,113,984,2,1.4,0,33,96,97.9,77,249,394,397.8,206,1071
0,0.0,0,0,208,297.6,113,984,1,1.4,0,33,108,98.0,77,249,317,397.1,206,1071
0,0.0,0,0,304,297.7,113,984,1,1.4,0,33,95,98.0,77,249,400,397.1,206,1071
0,0.0,0,0,231,297.1,113,984,1,1.4,0,33,89,97.9,77,249,321,396.4,206,1071
0,0.0,0,0,228,296.5,113,984,1,1.4,0,33,88,97.8,77,249,317,395.7,206,1071
0,0.0,0,0,279,296.4,113,984,1,1.4,0,33,92,97.8,77,249,372,395.5,206,1071
0,0.0,0,0,260,296.1,113,984,1,1.4,0,33,87,97.7,77,249,348,395.1,206,1071
0,0.0,0,0,257,295.7,113,984,1,1.4,0,33,91,97.6,77,249,349,394.7,206,1071
0,0.0,0,0,295,295.7,113,984,1,1.4,0,33,100,97.6,77,249,396,394.8,206,1071
0,0.0,0,0,288,295.7,113,984,1,1.4,0,33,91,97.6,77,249,380,394.6,206,1071
0,0.0,0,0,345,296.1,113,984,1,1.4,0,33,87,97.5,77,249,433,394.9,206,1071
0,0.0,0,0,368,296.7,113,984,1,1.4,0,33,91,97.4,77,249,460,395.5,206,1071
0,0.0,0,0,607,299.2,113,984,1,1.4,0,33,102,97.5,77,249,710,398.0,206,1071
0,0.0,0,0,176,298.2,113,984,1,1.4,0,33,111,97.6,77,249,288,397.1,206,1071
0,0.0,0,0,383,298.8,113,984,0,1.4,0,33,90,97.5,77,249,473,397.7,206,1071
0,0.0,0,0,230,298.3,113,984,1,1.4,0,33,104,97.6,77,249,335,397.2,206,1071
0,0.0,0,0,229,297.8,113,984,1,1.4,0,33,105,97.6,77,249,335,396.8,206,1071
0,0.0,0,0,267,297.5,113,984,1,1.3,0,33,112,97.7,77,249,380,396.6,206,1071
0,0.0,0,0,218,296.9,113,984,1,1.3,0,33,99,97.8,77,249,318,396.0,206,1071
0,0.0,0,0,374,297.5,113,984,1,1.3,0,33,100,97.8,77,249,475,396.6,206,1071
